"NAME","MEETINGNAME__C","MEETINGNO__C","TT_TIMESTAMPBYL__C","TT_NAMEFORTICKET__C","TT_STARTDATE__C","TT_ENDDATE__C","TT_CANCEL__C","TT_ITEMNAME__C","TT_INTERNALORDERTAXABLE__C","TT_INTERNALORDERNONTAXABLE__C","TT_ACCOUNTCODETAXABLE__C","TT_ACCOUNTCODENONTAXABLE__C","TT_ZETIACODE__C","TT_NUMBEROFINVITEDMEMBEREMPEXCEPT__C","TT_NUMBEROFINVITEDMEMBEREMP__C","TT_SRM_ORDERCLASSIFICATION__C","TT_PLANPERSONBU_NAMEEN__C","TT_PLANPERSONAREANAME__C","TT_PLANPERSONFS_NAME__C","TT_PLANPERSONNAMEKANJI__C","TT_PLANPERSONNAME__C","TT_PLANPERSONEMAIL__C","TT_PLANPERSONMOBILEMAIL__C","TT_PLANPERSONMOBILE__C","TT_PLANPERSONPHONE__C","TT_COSTCENTER__C","TT_ARRANGEPERSONBU_NAMEEN__C","TT_ARRANGEPERSONAREANAME__C","TT_ARRANGEPERSONFS_NAME__C","TT_ARRANGEPERSONNAMEKANJI__C","TT_ARRANGEPERSONNAME__C","TT_ARRANGEPERSONPHONE__C","TT_ARRANGEPERSONEMAIL__C","TT_ARRANGEPERSONMOBILE__C","TT_ARRANGEPERSONMOBILEMAIL__C","TT_BUDGETTAXABLETOTAL__C","TT_BUDGETNONTAXABLETOTAL__C","TT_BUDGETTAXABLEPARTY__C","TT_BUDGETTAXABLEDISCUSSION__C","TT_MEETINGPLACENAME__C","TT_STATUSREQUEST__C","TT_LASTMODIFIEDDATE__C","INVALID__C"
"砂川市立　プリモビスト","","MTG14-00000023","20140310074706","","20140423","20140423","0","プリモビスト","","GDYA65200300","6831200","6844000","","0.0","0.0","0","R&I","東日本","北海道","谷岡 健","Tanioka Takeshi","takeshi.tanioka@bayer.com","byl.0629.8459@docomo.ne.jp","81(90)1581-3081","","YA006D6161","R&I","東日本","北海道","谷岡 健","Tanioka Takeshi","","takeshi.tanioka@bayer.com","81(90)1581-3081","byl.0629.8459@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-10T07:47:06.000Z","false"
"0319SGGGL_平塚共済_IOP","","MTG14-00000024","20140402030001","","20140319","20140319","0","イオパミロン","","GDYA65200100","6831200","6844000","","15.0","0.0","0","R&I","東日本","南関東１","平松 一孝","Hiramatsu Kazutaka","kazutaka.hiramatsu@bayer.com","byl.0629.7967@docomo.ne.jp","81(90)6828-0647","81(3)6266-7940","YA006D6104","R&I","東日本","南関東１","平松 一孝","Hiramatsu Kazutaka","81(3)6266-7940","kazutaka.hiramatsu@bayer.com","81(90)6828-0647","byl.0629.7967@docomo.ne.jp","0.0","20000.0","0.0","0.0","","0.0","2014-04-02T03:00:01.000Z","false"
"スチバーガCRC市販直後調査報告","スチバーガ安全性対策説明会（三井記念消化器内科＆腫瘍内科）","MTG14-00000025","20140401014433","","20140328","20140328","0","スチバーガ","","GDYA00201350","6831200","6844000","","22.0","0.0","0","ONH","東日本","東京第１","戸井田 敦","Toida Atsushi","atsushi.toida@bayer.com","byl.0621.4034@docomo.ne.jp","81(80)2405-1570","","YA00680000","ONH","東日本","東京第１","戸井田 敦","Toida Atsushi","","atsushi.toida@bayer.com","81(80)2405-1570","byl.0621.4034@docomo.ne.jp","0.0","60000.0","0.0","0.0","","0.0","2014-04-01T01:44:33.000Z","false"
"近視性脈絡膜新生血管の基礎","","MTG14-00000026","20140310094104","","20140423","20140423","0","アイリーア","G3YA00200550","GDYA00200550","6831200","6701000","","0.0","2.0","0","OPH","関東","関東","田中 清士","Tanaka Kiyoshi","kiyoshi.tanaka@bayer.com","byl.0630.2871@docomo.ne.jp","81(90)5095-7404","","YA006S3011","OPH","関東","関東","田中 清士","Tanaka Kiyoshi","","kiyoshi.tanaka@bayer.com","81(90)5095-7404","byl.0630.2871@docomo.ne.jp","45000.0","10000.0","45000.0","0.0","","0.0","2014-03-10T09:41:04.000Z","false"
"アイリーアCRVO特定使用成績調査","","MTG14-00000027","20140508010024","","20140320","20140320","0","アイリーア","","GDYA00200550","6831200","6844000","","0.0","0.0","0","OPH","関東","関東","田中 清士","Tanaka Kiyoshi","kiyoshi.tanaka@bayer.com.fullsand","byl.0630.2871@docomo.ne.jp","81(90)5095-7404","","YA006S3011","OPH","関東","関東","田中 清士","Tanaka Kiyoshi","","kiyoshi.tanaka@bayer.com.fullsand","81(90)5095-7404","byl.0630.2871@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-05-08T01:00:24.000Z","false"
"アイリーアTAE解説","","MTG14-00000028","20140310095058","","20140319","20140319","0","アイリーア","","GDYA00200550","6831200","6844000","","0.0","0.0","0","OPH","関東","関東","田中 清士","Tanaka Kiyoshi","kiyoshi.tanaka@bayer.com","byl.0630.2871@docomo.ne.jp","81(90)5095-7404","","YA006S3011","OPH","関東","関東","田中 清士","Tanaka Kiyoshi","","kiyoshi.tanaka@bayer.com","81(90)5095-7404","byl.0630.2871@docomo.ne.jp","0.0","0.0","0.0","0.0","","0.0","2014-03-10T09:50:58.000Z","false"
"WDMK_0414_熊倉_なかむら皮膚科","","MTG14-00000029","20140312044557","","20140414","20140414","0","ネリゾナ","","GDYA16000001","6831200","6844000","","5.0","0.0","0","WHD","南関東","南関東","熊倉 聡美","Kumakura Satomi","satomi.kumakura@bayer.com","byl.0830.2216@docomo.ne.jp","+81-80-8300-2825","","YA006W4500","WHD","南関東","南関東","熊倉 聡美","Kumakura Satomi","","satomi.kumakura@bayer.com","+81-80-8300-2825","byl.0830.2216@docomo.ne.jp","0.0","15000.0","0.0","0.0","","0.0","2014-03-12T04:45:57.000Z","false"
"Scientific Seminar","Scientific Seminar","MTG14-00000030","20140626041039","","20140712","20140712","0","ヤーズ","G3YA00201600","GDYA00201600","6831200","6844000","","40.0","5.0","0","CEB","ＤＭ","首都圏","浅中 純一","Asanaka Junichi","actis5mr1@yahoo.co.jp","test@keitai.com","09011112222","","YA656333B0","WHD","東海","東海","牧野 勲","Makino Isao","","isao.makino@bayer.com.fullsand","81(90)5095-7490","byl.0630.3622@docomo.ne.jp","355000.0","250000.0","105000.0","250000.0","名鉄グランドホテル","1.0","2014-06-26T04:10:39.000Z","false"
"KN谷上山形県立中央病院","","MTG14-00000031","20140331092222","","20140324","20140324","0","ヤーズ","","GDYA00201600","6831200","6844000","","30.0","0.0","0","WHD","北日本","北日本","谷上 真以","Tanigami Mai","mai.tanigami@bayer.com","byl.0830.2542@docomo.ne.jp","+81-80-8515-1722","","YA006W4500","WHD","北日本","北日本","谷上 真以","Tanigami Mai","","mai.tanigami@bayer.com","+81-80-8515-1722","byl.0830.2542@docomo.ne.jp","0.0","75000.0","0.0","0.0","","0.0","2014-03-31T09:22:22.000Z","false"
"WDMK_0331_山田_山川皮膚科_ネリゾナ","WDMK_0331_山田_山川皮膚科_ネリゾナ","MTG14-00000032","20140401075036","","20140331","20140331","0","ネリゾナ","","GDYA16000001","6831200","6844000","","10.0","0.0","0","WHD","南関東","南関東","山田 裕子","Yamada Yuko","yuko.yamada@bayer.com","byl.0863.4057@docomo.ne.jp","+81-80-8337-9432","","YA006W4500","WHD","南関東","南関東","山田 裕子","Yamada Yuko","","yuko.yamada@bayer.com","+81-80-8337-9432","byl.0863.4057@docomo.ne.jp","0.0","30000.0","0.0","0.0","","0.0","2014-04-01T07:50:36.000Z","false"
"WDMK_0602_山田_横浜労災病院産婦人科_ミレーナ","WDMK_0602_山田_横浜労災病院産婦人科_ミレーナ","MTG14-00000035","20140312044348","","20140602","20140602","0","ミレーナ","","GDYA00201700","6831200","6844000","","10.0","0.0","0","WHD","南関東","南関東","山田 裕子","Yamada Yuko","yuko.yamada@bayer.com","byl.0863.4057@docomo.ne.jp","+81-80-8337-9432","","YA006W4500","WHD","南関東","南関東","山田 裕子","Yamada Yuko","","yuko.yamada@bayer.com","+81-80-8337-9432","byl.0863.4057@docomo.ne.jp","0.0","30000.0","0.0","0.0","","0.0","2014-03-12T04:43:48.000Z","false"
"テストXAR","XAR学術講演会","MTG14-00000033","20140526053818","","20140311","20140311","0","イグザレルト","G3YA00100705","GDYA00100705","6831200","6844000","","200.0","0.0","1","R&I","東日本","南関東２","野口 広","Noguchi Hiroshi","hiroshi.noguchi@bayer.com.fullsand","byl.0630.0151@docomo.ne.jp","81(90)5169-5555","","YA00650107","","","","","","","","","","500000.0","2000000.0","0.0","500000.0","","1.0","2014-05-26T05:38:18.000Z","false"
"WDMK_0418_山田_太田総合病院産婦人科_ミレーナ","WDMK_0418_山田_太田総合病院産婦人科_ミレーナ","MTG14-00000034","20140401082809","","20140418","20140418","0","ミレーナ","","GDYA00201700","6831200","6844000","","10.0","0.0","0","WHD","南関東","南関東","山田 裕子","Yamada Yuko","yuko.yamada@bayer.com","byl.0863.4057@docomo.ne.jp","+81-80-8337-9432","","YA006W4500","WHD","南関東","南関東","山田 裕子","Yamada Yuko","","yuko.yamada@bayer.com","+81-80-8337-9432","byl.0863.4057@docomo.ne.jp","0.0","30000.0","0.0","0.0","","0.0","2014-04-01T08:28:09.000Z","false"
"WDMK_1127_山田_横浜市産婦人科医会","横浜市産婦人科医会","MTG14-00000036","20140310132251","横浜市産婦人科医会","20141127","20141127","0","ミレーナ","G3YA00201700","GDYA00201700","6831200","6844000","","100.0","0.0","0","WHD","南関東","南関東","山田 裕子","Yamada Yuko","yuko.yamada@bayer.com","byl.0863.4057@docomo.ne.jp","+81-80-8337-9432","","YA006W4500","WHD","南関東","南関東","山田 裕子","Yamada Yuko","","yuko.yamada@bayer.com","+81-80-8337-9432","byl.0863.4057@docomo.ne.jp","0.0","2000000.0","0.0","0.0","ロイヤルパークホテル","0.0","2014-03-10T13:22:51.000Z","false"
"KN講演会山形置賜エリア","","MTG14-00000037","20140310140436","","20140521","20140521","0","ヤーズ","G3YA00201600","GDYA00201600","6831200","6844000","","15.0","0.0","0","WHD","北日本","北日本","谷上 真以","Tanigami Mai","mai.tanigami@bayer.com","byl.0830.2542@docomo.ne.jp","+81-80-8515-1722","","YA006W4500","WHD","北日本","北日本","谷上 真以","Tanigami Mai","","mai.tanigami@bayer.com","+81-80-8515-1722","byl.0830.2542@docomo.ne.jp","150000.0","300000.0","0.0","150000.0","","0.0","2014-03-10T14:04:36.000Z","false"
"スチバーガ錠製品説明","","MTG14-00000038","20140312211240","","20140312","20140312","0","スチバーガ","","GDYA00201350","6831200","6844000","","7.0","0.0","0","ONH","西日本","四国","小川 慎治","Ogawa Shinji","shinji.ogawa@bayer.com","byl.0629.9293@docomo.ne.jp","+81-90-1581-3302","","YA00680000","ONH","西日本","四国","小川 慎治","Ogawa Shinji","","shinji.ogawa@bayer.com","+81-90-1581-3302","byl.0629.9293@docomo.ne.jp","0.0","21000.0","0.0","0.0","","0.0","2014-03-12T21:12:40.000Z","false"
"スチバーガ錠製品説明","","MTG14-00000039","20140312210500","","20140312","20140312","0","スチバーガ","","GDYA00201350","6831200","6844000","","4.0","0.0","0","ONH","西日本","四国","小川 慎治","Ogawa Shinji","shinji.ogawa@bayer.com","byl.0629.9293@docomo.ne.jp","+81-90-1581-3302","","YA00680000","ONH","西日本","四国","小川 慎治","Ogawa Shinji","","shinji.ogawa@bayer.com","+81-90-1581-3302","byl.0629.9293@docomo.ne.jp","0.0","12000.0","0.0","0.0","","0.0","2014-03-12T21:05:00.000Z","false"
"スチバーガ錠情報提供","","MTG14-00000040","20140331115021","","20140324","20140324","0","スチバーガ","","GDYA00201350","6831200","6844000","","35.0","0.0","0","ONH","西日本","四国","小川 慎治","Ogawa Shinji","shinji.ogawa@bayer.com","byl.0629.9293@docomo.ne.jp","81(90)1581-3302","","YA00680000","ONH","西日本","四国","小川 慎治","Ogawa Shinji","","shinji.ogawa@bayer.com","81(90)1581-3302","byl.0629.9293@docomo.ne.jp","0.0","105000.0","0.0","0.0","","0.0","2014-03-31T11:50:21.000Z","false"
"福岡歯科大学医科歯科総合病院　薬剤部　ｽﾁﾊﾞｰｶﾞCRC製品説明","","MTG14-00000041","20140402005116","","20140312","20140312","0","スチバーガ","","GDYA00201350","6831200","6844000","","5.0","0.0","0","ONH","西日本","九州第１","大脇 義隆","Ohwaki Yoshitaka","yoshitaka.ohwaki@bayer.com","byl.0630.2413@docomo.ne.jp","+81-90-5095-7565","","YA00680000","ONH","西日本","九州第１","大脇 義隆","Ohwaki Yoshitaka","","yoshitaka.ohwaki@bayer.com","+81-90-5095-7565","byl.0630.2413@docomo.ne.jp","0.0","12500.0","0.0","0.0","","0.0","2014-04-02T00:51:16.000Z","false"
"門司掖済会病院　外科　STI","","MTG14-00000042","20140320003739","","20140314","20140314","0","スチバーガ","","GDYA00201350","6831200","6844000","","12.0","0.0","0","ONH","西日本","九州第１","矢田貝 憲和","Yatagai Norikazu","norikazu.yatagai@bayer.com","byl.0851.6917@docomo.ne.jp","+81-80-8334-9963","","YA00680000","ONH","西日本","九州第１","矢田貝 憲和","Yatagai Norikazu","","norikazu.yatagai@bayer.com","+81-80-8334-9963","byl.0851.6917@docomo.ne.jp","0.0","31800.0","0.0","0.0","","0.0","2014-03-20T00:37:39.000Z","false"
